verb,verb_o,IC,English,real_violation_IC-500,lexicality,list,correct_response
aflefer,aflefo,er,,36.409,NW,2,f
trerajer,trerajo,er,,32.256,NW,1,f
pesler,peslo,er,,29.859,NW,2,f
milocer,miloco,er,,45.564,NW,1,f
glodeer,glodeo,er,,38.232,NW,2,f
flolefer,flolefo,er,,43.803,NW,1,f
almander,almando,er,,40.15999999999998,NW,2,f
respopter,respopto,er,,28.533,NW,1,f
fireer,fireo,er,,23.651000000000003,NW,2,f
emauder,emaudo,er,,33.27100000000001,NW,1,f
estonser,estonso,er,,20.838999999999995,NW,2,f
redeser,redeso,er,,25.139000000000003,NW,1,f
patilmaner,patilmano,er,,48.552999999999976,NW,2,f
escopter,escopto,er,,29.606,NW,1,f
dedeler,dedelo,er,,30.612,NW,2,f
enjinder,enjindo,er,,22.715,NW,1,f
redezer,redezo,er,,25.139000000000003,NW,2,f
fileer,fileo,er,,29.857,NW,1,f
enjander,enjando,er,,24.209,NW,2,f
naler,nalo,er,,14.428,NW,1,f
afosir,afoso,ir,,30.878,NW,2,f
afocir,afoco,ir,,30.878,NW,1,f
etrir,etro,ir,,6.8740000000000006,NW,2,f
allirir,alliro,ir,,24.066,NW,1,f
alluerir,alluero,ir,,31.827000000000005,NW,2,f
eflodir,eflodo,ir,,24.192,NW,1,f
adroirir,adroiro,ir,,29.482,NW,2,f
ofir,ofo,ir,,0.611,NW,1,f
davir,davo,ir,,16.686000000000003,NW,2,f
gnondir,gnondo,ir,,30.035000000000004,NW,1,f
bugrir,bugro,ir,,13.673,NW,2,f
pefir,pefo,ir,,5.061,NW,1,f
pojosir,pojoso,ir,,41.767,NW,2,f
llumir,llumo,ir,,18.069000000000003,NW,1,f
mobrir,mobro,ir,,21.116,NW,2,f
deliusiir,deliusio,ir,,31.84200000000001,NW,1,f
deflerir,deflero,ir,,28.948,NW,2,f
pofosir,pofoso,ir,,44.976,NW,1,f
nuluir,nuluyo,ir,,20.959,NW,2,f
dinavir,dinavo,ir,,35.288999999999994,NW,1,f
riravir,riravo,ir,,29.720999999999997,NW,2,f
fosmir,fosmo,ir,,24.903,NW,1,f
miravir,miravo,ir,,28.029,NW,2,f
enmublir,enmublo,ir,,26.421,NW,1,f
vobrir,vobro,ir,,17.004,NW,2,f
eshazuchir,eshazucho,ir,,37.13099999999999,NW,1,f
ersuchir,ersucho,ir,,25.114,NW,2,f
escipcir,escipco,ir,,26.47,NW,1,f
ennuvir,ennuvo,ir,,20.266,NW,2,f
espislir,espislo,ir,,24.27,NW,1,f
ennubir,ennubo,ir,,20.266,NW,2,f
exvamir,exvamo,ir,,23.617,NW,1,f
elmamir,elmamo,ir,,24.32,NW,2,f
elfastir,elfasto,ir,,30.713000000000005,NW,1,f
bisgir,bisgo,ir,,16.551000000000002,NW,2,f
genir,geno,ir,,2.619,NW,1,f
risgir,risgo,ir,,21.293000000000003,NW,2,f
firir,firo,ir,,5.618,NW,1,f
fordir,fordo,ir,,12.791,NW,2,f
jilir,jilo,ir,,7.579000000000001,NW,1,f
numir,numo,ir,,11.025,NW,2,f
zomir,zomo,ir,,2.68,NW,1,f
zoñir,zoño,ir,,1.421,NW,2,f
birir,biro,ir,,7.130999999999999,NW,1,f
gegir,gejo,ir,,4.793,NW,2,f
ruir,ruyo,ir,,0,NW,1,f
duntir,dunto,ir,,12.219,NW,2,f
emnamir,emnamo,ir,,26.442000000000004,NW,1,f
relir,relo,ir,,0,NW,2,f
mobir,mobo,ir,,19.117,NW,1,f
melcir,melco,ir,,19.877,NW,2,f
dovir,dovo,ir,,19.806000000000004,NW,1,f
mumir,mumo,ir,,7.058,NW,2,f
dobir,dobo,ir,,19.806000000000004,NW,1,f
muvir,muvo,ir,,11.594,NW,2,f
dafir,dafo,ir,,10.741,NW,1,f
pojir,pojo,ir,,11.317,NW,2,f
brabir,brabo,ir,,18.392,NW,1,f
egmastir,egmasto,ir,,30.394000000000005,NW,2,f
pifrir,pifro,ir,,21.772,NW,1,f
milir,milo,ir,,11.381,NW,2,f
dodrir,dodro,ir,,21.98,NW,1,f
tumir,tumo,ir,,3.902,NW,2,f
gebir,gebo,ir,,2.384,NW,1,f
pefuenir,pefueno,ir,,35.056,NW,2,f
sodrir,sodro,ir,,20.609,NW,1,f
lunir,luno,ir,,5.942,NW,2,f
ravir,ravo,ir,,13.218000000000002,NW,1,f
sohuir,sohuyo,ir,,23.147,NW,2,f
mectir,mecto,ir,,12.505,NW,1,f
dumir,dumo,ir,,13.293999999999995,NW,2,f
mibir,mibo,ir,,3.665,NW,1,f
sosgir,sosgo,ir,,21.146,NW,2,f
buptir,bupto,ir,,16.113,NW,1,f
fepir,fepo,ir,,5.945,NW,2,f
brabstredir,brabstredo,ir,,29.031,NW,1,f
ipcir,ipso,ir,,19.475,NW,2,f
upcir,upso,ir,,11.873,NW,1,f
efir,efo,ir,,0.981,NW,2,f
ugmir,ugmo,ir,,15.474,NW,1,f
erlir,erlo,ir,,9.52,NW,2,f
vobir,vobo,ir,,15.005,NW,1,f
navetir,naveto,ir,,33.66,NW,2,f
zilsullir,zilsullo,ir,,29.546,NW,1,f
zutbir,zutbo,ir,,20.698,NW,2,f
zognullir,zognullo,ir,,27.418,NW,1,f
lasfucir,lasfuco,ir,,27.012000000000004,NW,2,f
mifrir,mifro,ir,,20.179,NW,1,f
fecir,feco,ir,,8.009,NW,2,f
nafir,nafo,ir,,16.935,NW,1,f
norir,noro,ir,,1.49,NW,2,f
elsunir,elsuno,ir,,25.5,NW,1,f
neslir,neslo,ir,,23.09,NW,2,f
domplir,domplo,ir,,21.680000000000003,NW,1,f
tazodir,tazodo,ir,,32.632,NW,2,f
bubir,bubo,ir,,8.637,NW,1,f
tadodir,tadodo,ir,,29.160999999999994,NW,2,f
namir,namo,ir,,16.333000000000002,NW,1,f
ojadir,ojado,ir,,15.833999999999998,NW,2,f
aguglir,aguglo,ir,,21.350000000000005,NW,1,f
livir,livo,ir,,1.755,NW,2,f
esbrabir,esbrabo,ir,,23.172,NW,1,f
erlendir,erlendo,ir,,27.659,NW,2,f
fiplir,fiplo,ir,,13.944,NW,1,f
navir,navo,ir,,22.288000000000004,NW,2,f
pifadir,pifado,ir,,26.71,NW,1,f
juvir,juvo,ir,,4.466,NW,2,f
gnoncir,gnonco,ir,,26.471000000000004,NW,1,f
fogir,fogo,ir,,16.419,NW,2,f
frircir,frirco,ir,,18.222,NW,1,f
sejir,sejo,ir,,2.948,NW,2,f
ciptir,cipto,ir,,17.568,NW,1,f
abipcir,abipco,ir,,27.551,NW,2,f
mactir,macto,ir,,19.780999999999995,NW,1,f
sutorlir,sutorlo,ir,,31.686,NW,2,f
ehuir,ehuyo,ir,,9.837,NW,1,f
denamir,denamo,ir,,33.075,NW,2,f
cugmir,cugmo,ir,,17.89,NW,1,f
fejir,fejo,ir,,9.325000000000001,NW,2,f
cuctir,cucto,ir,,15.131,NW,1,f
uliir,ulio,ir,,10.102,NW,2,f
fengir,fengo,ir,,7.738999999999999,NW,1,f
demarjir,demarjo,ir,,22.35,NW,2,f
rildir,rildo,ir,,17.055,NW,1,f
cesdir,cesdo,ir,,8.334999999999999,NW,2,f
renarlir,demarjo,ir,,22.35,NW,1,f
jitrir,jitro,ir,,17.321,NW,2,f
vandir,vando,ir,,3.261,NW,1,f
seslir,seslo,ir,,19.34,NW,2,f
ajocir,ajoco,ir,,26.030000000000005,NW,1,f
pralpigir,pralpigo,ir,,28.992,NW,2,f
dislitiir,dislitio,ir,,32.82799999999999,NW,1,f
erfostir,erfosto,ir,,37.52499999999999,NW,2,f
sosmanuir,sosmanuyo,ir,,29.912000000000003,NW,1,f
ruldir,ruldo,ir,,14.651,NW,2,f
gumir,gumo,ir,,10.403,NW,1,f
murdir,murdo,ir,,5.344,NW,2,f
enavir,enavo,ir,,34.501,NW,1,f
inclipcir,inclipso,ir,,25.474,NW,2,f
llufir,llufo,ir,,13.145,NW,1,f
chubir,chubo,ir,,4.171,NW,2,f
relsutir,relsuto,ir,,31.551,NW,1,f
amirmir,amirmo,ir,,25.130000000000003,NW,2,f
depsunir,depsuno,ir,,26.212,NW,1,f
clesetir,cleseto,ir,,20.972,NW,2,f
relzutir,relzuto,ir,,31.551,NW,1,f
dremetir,dremeto,ir,,15.742,NW,2,f
llugir,llugo,ir,,8.932,NW,1,f
repsutir,repsuto,ir,,29.884,NW,2,f
clesenir,cleseno,ir,,14.758,NW,1,f
iutiir,iutio,ir,,25.215,NW,2,f
